GEN_NUM     POP_SIZE    BEST_FIT    AVG_FIT     STD_DEV_FIT 
478         1600        1.039       0.599       0.379       
479         1600        1.039       0.588       0.380       
480         1600        1.039       0.607       0.384       
481         1600        1.065       0.599       0.385       
482         1600        1.065       0.588       0.389       
483         1600        1.074       0.596       0.380       
484         1600        1.055       0.616       0.378       
485         1600        1.055       0.598       0.387       
486         1600        1.055       0.599       0.390       
487         1600        1.055       0.587       0.387       
488         1600        1.055       0.596       0.393       
489         1600        1.055       0.590       0.390       
490         1600        1.065       0.599       0.393       
491         1600        1.073       0.617       0.385       
492         1600        1.073       0.597       0.395       
493         1600        1.164       0.608       0.394       
494         1600        1.164       0.591       0.398       
495         1600        1.112       0.583       0.397       
496         1600        1.087       0.594       0.394       
497         1600        1.087       0.603       0.396       
498         1600        1.087       0.612       0.391       
499         1600        1.073       0.617       0.391       
500         1600        1.073       0.591       0.395       
